【整租】花乡 乐乎城市青年社区 1室1厅,【整租】花乡,2500,http://bj.58.com/pinpaigongyu/33054801836329x.shtml?psid=173624084199106012124589171
【整租】角门 乐乎公寓 1室1厅,【整租】角门,3300,http://bj.58.com/pinpaigongyu/33059434816690x.shtml?psid=173624084199106012124589171
【整租】科技园区 大葆台 1室1厅,大葆台,2200,http://bj.58.com/pinpaigongyu/33091679038905x.shtml?psid=173624084199106012124589171
【整租】定福庄 传媒大学乐乎城市 1室1厅,传媒大学乐乎城市,2550,http://bj.58.com/pinpaigongyu/32348489293117x.shtml?psid=173624084199106012124589171
【整租】双桥 乐乎城市青年社区 1室1厅,【整租】双桥,2550,http://bj.58.com/pinpaigongyu/32946137209537x.shtml?psid=173624084199106012124589171
【整租】定福庄 三间房南里 1室1厅,三间房南里,2550,http://bj.58.com/pinpaigongyu/32470919755722x.shtml?psid=173624084199106012124589171
【整租】欢乐谷 乐乎城市青年社区 1室1厅,【整租】欢乐谷,2300,http://bj.58.com/pinpaigongyu/32479045992877x.shtml?psid=173624084199106012124589171
【整租】十里河 十里河乐乎城市青 1室1厅,十里河乐乎城市青,3300,http://bj.58.com/pinpaigongyu/32347837565878x.shtml?psid=173624084199106012124589171
【整租】角门 乐乎城市社区 1室1厅,乐乎城市社区,3300,http://bj.58.com/pinpaigongyu/32964511288755x.shtml?psid=173624084199106012124589171
【整租】欢乐谷 欢乐谷 1室1厅,欢乐谷,2450,http://bj.58.com/pinpaigongyu/32345925175116x.shtml?psid=173624084199106012124589171
【整租】六里桥 首科花园 1室0厅,首科花园,2800,http://bj.58.com/pinpaigongyu/31449435693509x.shtml?psid=173624084199106012124589171
【整租】魔方公寓 梨园 通州梨园店,梨园,3800-4200,http://bj.58.com/pinpaigongyu/32954349957676x.shtml?psid=173624084199106012124589171
【整租】劲松 劲松五区 1室1厅,劲松五区,3700,http://bj.58.com/pinpaigongyu/31572725404738x.shtml?psid=173624084199106012124589171
【整租】沙河 宝铂公寓恒大城 2室1厅,【整租】沙河,4000,http://bj.58.com/pinpaigongyu/33079176824745x.shtml?psid=173624084199106012124589171
【合租】四惠 通惠家园惠生园 5室主卧,通惠家园惠生园,2760,http://bj.58.com/pinpaigongyu/33075304310986x.shtml?psid=173624084199106012124589171
【整租】青遇home 高碑店 青遇店,高碑店,2500-3200,http://bj.58.com/pinpaigongyu/33042472711601x.shtml?psid=173624084199106012124589171
【合租】北关 新建村 3室次卧,新建村,2360,http://bj.58.com/pinpaigongyu/31530931423534x.shtml?psid=173624084199106012124589171
【整租】昌平县城 中兴路17号院 1室1厅,中兴路17号院,3000,http://bj.58.com/pinpaigongyu/32917713575751x.shtml?psid=173624084199106012124589171
【整租】潘家园 北工大熊猫公寓 1室0厅,【整租】潘家园,3280,http://bj.58.com/pinpaigongyu/33077405872193x.shtml?psid=173624084199106012124589171
【合租】朝青板块 雅成一里 4室次卧,雅成一里,2730,http://bj.58.com/pinpaigongyu/33066514231851x.shtml?psid=173624084199106012124589171
【整租】科技园区 公交驾校 1室1厅,公交驾校,2200,http://bj.58.com/pinpaigongyu/33091650101196x.shtml?psid=105388699199106012162005895
